# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-t" "exon" "-O" "-g" "Parent" "-a" "/scratch/ys33815/endo6_38/b73bam/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.gff3" "-o" "../endo6_38_counts_dec.txt" "SRR1169626Aligned.sortedByCoord.out.bam" "SRR1169633Aligned.sortedByCoord.out.bam" "SRR1169641Aligned.sortedByCoord.out.bam" "SRR1169627Aligned.sortedByCoord.out.bam" "SRR1169634Aligned.sortedByCoord.out.bam" "SRR1169642Aligned.sortedByCoord.out.bam" "SRR1169628Aligned.sortedByCoord.out.bam" "SRR1169635Aligned.sortedByCoord.out.bam" "SRR1169643Aligned.sortedByCoord.out.bam" "SRR1169629Aligned.sortedByCoord.out.bam" "SRR1169636Aligned.sortedByCoord.out.bam" "SRR1169644Aligned.sortedByCoord.out.bam" "SRR1169630Aligned.sortedByCoord.out.bam" "SRR1169637Aligned.sortedByCoord.out.bam" "SRR1169645Aligned.sortedByCoord.out.bam" "SRR1169631Aligned.sortedByCoord.out.bam" "SRR1169639Aligned.sortedByCoord.out.bam" "SRR1169646Aligned.sortedByCoord.out.bam" "SRR1169632Aligned.sortedByCoord.out.bam" "SRR1169640Aligned.sortedByCoord.out.bam" "SRR1169647Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR1169626Aligned.sortedByCoord.out.bam	SRR1169633Aligned.sortedByCoord.out.bam	SRR1169641Aligned.sortedByCoord.out.bam	SRR1169627Aligned.sortedByCoord.out.bam	SRR1169634Aligned.sortedByCoord.out.bam	SRR1169642Aligned.sortedByCoord.out.bam	SRR1169628Aligned.sortedByCoord.out.bam	SRR1169635Aligned.sortedByCoord.out.bam	SRR1169643Aligned.sortedByCoord.out.bam	SRR1169629Aligned.sortedByCoord.out.bam	SRR1169636Aligned.sortedByCoord.out.bam	SRR1169644Aligned.sortedByCoord.out.bam	SRR1169630Aligned.sortedByCoord.out.bam	SRR1169637Aligned.sortedByCoord.out.bam	SRR1169645Aligned.sortedByCoord.out.bam	SRR1169631Aligned.sortedByCoord.out.bam	SRR1169639Aligned.sortedByCoord.out.bam	SRR1169646Aligned.sortedByCoord.out.bam	SRR1169632Aligned.sortedByCoord.out.bam	SRR1169640Aligned.sortedByCoord.out.bam	SRR1169647Aligned.sortedByCoord.out.bam
Zm00001eb000010_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	34617;36037;36259;36600;36822;37416;38021;38571;39701	35318;36174;36504;36713;37004;37633;38482;39618;40204	+;+;+;+;+;+;+;+;+	3615	97	68	14	48	84	41	65	17	73	26	69	114	14	44	108	70	52	123	14	36	251
Zm00001eb000020_T002	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	41263;41742;42508;42762;43039;43318;43994;45593	41588;42375;42665;42917;43197;43520;44303;46050	-;-;-;-;-;-;-;-	2404	3686	1014	241	2258	1508	448	2522	281	1001	684	1148	602	458	897	300	720	959	214	335	575	50
Zm00001eb000020_T004	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	41214;41742;42257;42508;42762;43039;43318;43750	41588;41807;42375;42665;42917;43197;43520;43902	-;-;-;-;-;-;-;-	1389	2698	771	163	1754	1066	322	1883	216	721	523	790	420	356	614	201	495	690	161	235	397	37
Zm00001eb000020_T003	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	41314;41742;42257;42508;42762;43039;43318;43750;43994;45593	41588;41807;42375;42665;42917;43197;43520;43802;44303;46039	-;-;-;-;-;-;-;-;-;-	1946	3681	1014	241	2256	1509	448	2514	281	999	684	1146	602	458	897	295	717	958	214	335	575	50
Zm00001eb000020_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	41214;41742;42257;42508;42762;43039;43318;43994;45593	41588;41807;42375;42665;42917;43197;43520;44303;46762	-;-;-;-;-;-;-;-;-	2716	3690	1014	241	2261	1506	448	2517	281	999	685	1147	603	458	901	295	717	958	214	334	575	50
Zm00001eb000050_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1	108554;109172;109340;109498;109706;109882;113762	108564;109264;109411;109622;109790;109951;114382	-;-;-;-;-;-;-	1077	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Zm00001eb000060_T001	chr1;chr1	188559;189146	189088;189581	-;-	966	232	261	45	173	309	71	342	96	133	195	188	148	56	142	130	302	142	204	82	86	352
Zm00001eb000070_T001	chr1;chr1;chr1;chr1;chr1;chr1	190192;190301;190624;191350;197313;198535	190199;190561;190681;191442;197368;198832	-;-;-;-;-;-	774	39	142	23	37	114	28	108	36	59	52	67	82	28	62	83	123	53	94	42	51	105
Zm00001eb000080_T001	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	200262;200916;201124;201433;201662;201912;202483;203022;203302	200810;201043;201211;201571;201838;202158;202592;203229;203393	-;-;-;-;-;-;-;-;-	1738	550	1757	162	398	1335	353	1880	553	583	1512	768	550	599	590	634	2676	759	799	733	409	1136
Zm00001eb000100_T001	chr1;chr1;chr1;chr1;chr1;chr1	206619;207090;207447;207679;208377;209221	206995;207244;207582;207819;208969;209723	-;-;-;-;-;-	1905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
